STATUS | wrapper  | 2021/12/07 10:07:23 | --> Wrapper Started as Console
STATUS | wrapper  | 2021/12/07 10:07:24 | Launching a JVM...
INFO   | jvm 1    | 2021/12/07 10:07:24 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2021/12/07 10:07:24 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2021/12/07 10:07:24 | 
INFO   | jvm 1    | 2021/12/07 10:07:24 | Java Runtime: Oracle Corporation 11.0.12 C:\Program Files\Java\jdk-11.0.12
INFO   | jvm 1    | 2021/12/07 10:07:24 |   Heap sizes: current=518144k  free=506880k  max=1048576k
INFO   | jvm 1    | 2021/12/07 10:07:24 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=Rh1MS60rWRoJvD5Y -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=4504 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2021/12/07 10:07:24 | Extensions classpath:
INFO   | jvm 1    | 2021/12/07 10:07:24 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2021/12/07 10:07:24 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2021/12/07 10:07:24 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2021/12/07 10:07:24 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2021/12/07 10:07:24 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2021/12/07 10:07:25 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2021/12/07 10:07:25 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6912e: startup date [Tue Dec 07 10:07:25 CET 2021]; root of context hierarchy
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\prochnau\Projekte-lokal\Apache-Camel-Kurs\apache-activemq-5.16.3\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | PListStore:[C:\Users\prochnau\Projekte-lokal\Apache-Camel-Kurs\apache-activemq-5.16.3\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Apache ActiveMQ 5.16.3 (localhost, ID:DE-ADN-BWWZR73-55140-1638868046401-0:1) is starting
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Listening for connections at: tcp://DE-ADN-BWWZR73:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Connector openwire started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Listening for connections at: amqp://DE-ADN-BWWZR73:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Connector amqp started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Listening for connections at: stomp://DE-ADN-BWWZR73:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Connector stomp started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Listening for connections at: mqtt://DE-ADN-BWWZR73:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2021/12/07 10:07:26 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@5b42f544{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Listening for connections at ws://DE-ADN-BWWZR73:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Connector ws started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | Apache ActiveMQ 5.16.3 (localhost, ID:DE-ADN-BWWZR73-55140-1638868046401-0:1) started
INFO   | jvm 1    | 2021/12/07 10:07:26 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2021/12/07 10:07:27 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2021/12/07 10:07:27 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
INFO   | jvm 1    | 2021/12/07 10:29:47 |  INFO | Connector vm://localhost started
INFO   | jvm 1    | 2021/12/07 11:02:27 |  INFO | Connector vm://localhost stopped
